GY-511 Ready.
4097,28671,-15106,8896.12,27872.05,-11887.01,274,-320,-144,260.74,-292.86,14.13,-8.06
4609,28927,-16130,8175.10,28048.84,-12599.01,271,-325,-145,257.73,-295.88,13.07,-11.35
3841,28671,-17410,7376.48,28190.27,-13322.21,263,-325,-149,254.74,-298.85,11.78,-14.70
1793,27647,-17410,6583.98,28235.22,-14054.37,263,-332,-147,251.57,-301.98,10.53,-18.00
1793,28159,-19202,5762.19,28219.98,-14844.89,260,-334,-146,248.44,-305.05,9.53,-21.29
1025,28415,-19714,4917.15,28190.58,-15630.91,263,-328,-145,245.94,-307.69,8.95,-24.27
1793,28671,-18178,4241.12,28235.47,-16310.93,256,-332,-151,243.36,-309.80,8.27,-26.67
1,27135,-19202,3580.70,28202.97,-16854.95,253,-336,-151,240.90,-311.67,7.28,-28.81
-768,27135,-20226,2932.96,28091.78,-17324.36,249,-336,-152,237.96,-313.55,6.04,-30.90
-1792,26879,-20226,2175.76,27883.22,-17836.29,248,-338,-150,235.22,-315.42,5.05,-33.09
-2048,27391,-20738,1433.41,27733.58,-18348.23,239,-340,-151,232.05,-317.30,4.26,-35.16
-4352,27135,-21250,600.73,27613.87,-18826.18,245,-341,-151,229.32,-318.98,3.85,-37.06
-2816,27135,-21506,-133.82,27535.09,-19293.75,241,-343,-153,226.55,-320.71,3.30,-38.79
-3840,26623,-22018,-840.85,27420.88,-19753.20,240,-343,-153,224.53,-322.27,2.64,-40.35
-4096,26623,-22018,-1389.48,27295.30,-20171.96,235,-345,-152,222.14,-323.71,2.11,-41.73
-5376,26879,-22530,-1998.99,27177.84,-20575.17,233,-349,-152,219.83,-325.24,1.69,-43.07
-5888,26879,-23554,-2623.19,27100.87,-21000.13,233,-350,-153,217.40,-327.02,1.35,-44.40
-5888,26623,-23810,-3241.95,27039.30,-21459.71,232,-351,-152,215.26,-328.82,1.08,-45.65
-6144,26879,-24066,-3788.16,26990.04,-21929.77,230,-348,-152,213.35,-330.07,0.87,-46.73
-6656,26879,-23298,-4276.33,26950.63,-22288.61,231,-351,-151,211.83,-331.26,0.91,-47.58
-6400,27135,-24066,-4701.06,26953.30,-22592.89,231,-353,-154,210.41,-332.22,0.73,-48.30
-6400,26367,-24578,-5057.85,26921.24,-22870.31,230,-352,-155,209.28,-333.35,0.36,-48.97
-6656,26111,-24322,-5343.28,26844.40,-23160.65,229,-353,-152,208.37,-334.26,0.07,-49.56
-6912,26879,-24578,-5605.82,26765.92,-23426.92,229,-355,-153,207.45,-335.18,-0.16,-50.11
-6912,26623,-25090,-5849.86,26720.13,-23674.14,229,-347,-152,206.72,-335.53,-0.13,-50.52
-6912,26879,-23042,-6062.29,26734.71,-23786.51,228,-355,-158,205.93,-336.01,-0.55,-50.87
-7168,25343,-25090,-6249.23,26643.96,-23910.61,230,-355,-152,205.50,-336.38,-0.88,-51.20
-6656,26879,-25090,-6381.78,26588.57,-24009.89,220,-362,-155,204.57,-337.62,-1.37,-51.61
-9216,26111,-26882,-6641.43,26493.06,-24345.31,220,-356,-155,203.24,-338.61,-1.54,-52.21
-9216,26111,-25346,-6985.54,26467.85,-24630.65,219,-357,-156,201.40,-339.59,-1.89,-52.87
-9472,25855,-25602,-7448.63,26379.28,-24893.12,219,-359,-154,199.92,-340.19,-2.18,-53.52
-9472,26367,-26114,-7836.11,26325.62,-25051.90,218,-357,-154,198.55,-340.67,-2.18,-54.02
-9728,26367,-25602,-8180.29,26299.70,-25195.92,215,-362,-155,197.25,-341.42,-2.19,-54.48
